time,ax,ay,az,atotal
6.583907842636108,4.02,-3.83,4.66,7.24
6.58564305305481,2.82,-3.61,4.48,6.4
6.6003429889678955,1.38,-3.47,4.6,5.92
6.6020050048828125,0.27,-3.16,4.52,5.52
6.616862058639526,-0.1,-2.56,4.54,5.21
6.618854999542236,-0.17,-1.48,4.76,4.98
6.712116003036499,-0.32,-0.24,4.65,4.66
6.7136218547821045,-0.29,1.26,4.04,4.24
6.720596075057983,-0.34,2.61,3.38,4.28
6.722494840621948,-0.06,3.76,3.02,4.82
6.73442816734314,0.05,5.1,2.49,5.67
6.736437082290649,-0.08,6.18,2.01,6.49
6.7506489753723145,-0.22,7.0,1.78,7.22
6.752478837966919,-0.32,7.66,1.55,7.82
6.766999006271362,-0.44,8.1,1.29,8.21
6.7686378955841064,-0.51,8.4,1.15,8.49
6.86076807975769,-0.75,8.3,1.06,8.4
6.862213850021362,-0.79,7.84,0.94,7.93
6.867645978927612,-0.8,7.39,0.61,7.45
6.86958384513855,-0.87,6.75,-0.09,6.8
6.884030103683472,-0.84,5.77,-0.88,5.89
6.8860859870910645,-0.92,4.81,-1.97,5.27
6.900315046310425,-1.16,3.68,-3.08,4.93
6.9020469188690186,-1.43,2.33,-3.51,4.44
6.917051076889038,-1.64,0.85,-3.54,3.99
6.919332027435303,-1.52,-0.86,-3.45,3.86
6.933619976043701,-1.38,-2.22,-3.62,4.46
7.024296045303345,-1.76,-3.14,-3.72,5.17
7.025753021240234,-2.34,-3.87,-4.63,6.47
7.037524938583374,-2.32,-4.38,-4.94,6.99
7.039385080337524,-2.14,-5.07,-4.45,7.07
7.050628900527954,-1.66,-5.59,-4.25,7.21
7.052363157272339,-1.18,-5.76,-4.46,7.37
7.067028045654297,-1.04,-5.77,-4.66,7.48
7.0689380168914795,-1.1,-5.37,-4.93,7.37
7.083534002304077,-1.11,-4.89,-5.18,7.2
7.085347890853882,-0.93,-4.6,-3.53,5.87
7.176300048828125,-0.83,-5.42,-1.85,5.78
7.177869081497192,-0.38,-6.52,-0.51,6.55
7.18743896484375,-0.14,-7.32,1.25,7.42
7.189427137374878,-0.31,-7.33,2.44,7.73
7.200605154037476,-0.12,-6.15,2.78,6.75
7.202378988265991,0.02,-5.15,2.21,5.6
7.217133045196533,0.19,-3.86,1.89,4.3
7.218953847885132,0.94,-1.92,2.89,3.59
7.233531951904297,1.76,-1.82,4.6,5.25
7.235342025756836,2.71,-1.87,4.76,5.78
7.3272998332977295,3.69,-1.8,4.35,5.98
7.329167127609253,4.33,-1.59,4.19,6.23
7.337632894515991,4.54,-1.33,4.29,6.38
7.339470148086548,4.27,-1.04,4.32,6.16
7.350621938705444,3.74,-0.13,4.03,5.49
7.352218866348267,3.18,1.19,3.68,5.0
7.367067098617554,2.5,2.51,3.49,4.97
7.368885040283203,1.8,3.62,3.11,5.1
7.383547067642212,1.24,4.5,2.82,5.45
7.3853371143341064,0.78,5.25,2.44,5.84
7.476590871810913,0.23,5.91,2.01,6.24
7.478230953216553,-0.18,6.46,1.68,6.67
7.487627983093262,-0.49,6.88,1.31,7.02
7.489464044570923,-0.74,7.12,1.02,7.23
7.500596046447754,-0.97,7.18,0.71,7.27
7.502250909805298,-1.12,7.05,0.21,7.14
7.5171568393707275,-1.22,6.78,-0.4,6.9
7.5190041065216064,-1.27,6.42,-0.31,6.55
7.533566951751709,-1.24,6.06,-0.69,6.22
7.53522801399231,-1.32,5.54,-1.09,5.79
7.623706102371216,-1.4,5.12,-1.33,5.47
7.625137090682983,-1.49,4.77,-1.81,5.31
7.637592077255249,-1.69,4.14,-2.38,5.06
7.6394689083099365,-2.15,2.49,-3.57,4.85
7.650629997253418,-2.39,1.27,-4.04,4.86
7.652263879776001,-2.35,-0.1,-4.64,5.2
7.6670920848846436,-2.17,-1.51,-5.25,5.87
7.668941974639893,-1.62,-3.14,-4.89,6.03
7.683959007263184,-1.2,-4.78,-3.95,6.31
7.685781955718994,-1.02,-6.09,-4.17,7.45
7.7758119106292725,-0.9,-6.91,-4.67,8.38
7.7773988246917725,-0.71,-6.93,-4.69,8.39
7.787580966949463,-0.45,-6.21,-5.11,8.05
7.789521932601929,-0.49,-5.32,-6.09,8.1
7.800640821456909,0.02,-4.55,-5.09,6.82
7.802408933639526,-0.11,-4.71,-2.6,5.38
7.817150831222534,-0.72,-5.17,-0.38,5.23
7.818936109542847,-0.54,-5.54,1.16,5.68
