time,ax,ay,az,atotal,wx,wy,wz,type,lon,lat
2022-12-08 21:22:03+00:00,0.2334375,0.4115625,0.808125,4.9707944630177705,0.0,-0.05,0.07,ankle,-123.17888813178254,49.2651101738148
2022-12-08 21:22:04+00:00,-0.5423188405797101,0.181159420289855,-0.5815942028985508,5.027656958081284,-0.01,-0.06,0.05,ankle,-123.17886568503368,49.26510719589002
2022-12-08 21:22:05+00:00,-0.0886153846153846,-0.622,0.8458461538461538,5.076663426545844,-0.02,-0.06,0.02,ankle,-123.17883968910239,49.26510474046467
2022-12-08 21:22:06+00:00,0.3896923076923076,1.038,-0.3283076923076923,5.104947237978151,-0.04,-0.05,-0.01,ankle,-123.1788156292924,49.26510372272975
2022-12-08 21:22:07+00:00,-0.8262857142857143,-1.219142857142857,0.1392857142857143,5.1075883264928414,-0.07,-0.03,-0.02,ankle,-123.1787915889511,49.265102078214255
2022-12-08 21:22:08+00:00,0.7579999999999999,0.9312307692307692,0.2806153846153846,5.097516683864193,-0.1,-0.02,-0.03,ankle,-123.17876578801318,49.265098285542095
2022-12-08 21:22:09+00:00,-0.9541538461538462,0.1230769230769231,0.0067692307692307,5.103002899823439,-0.12,-0.05,-0.04,ankle,-123.17874290770635,49.26509550273746
2022-12-08 21:22:10+00:00,0.1525714285714285,-0.4458571428571429,0.3601428571428571,5.150421261297418,-0.13,-0.07,-0.04,ankle,-123.17871796312288,49.26509445007134
2022-12-08 21:22:11+00:00,0.449047619047619,0.817936507936508,0.0238095238095238,5.243801037141373,-0.11,-0.09,-0.05,ankle,-123.17869348416886,49.26509267131999
2022-12-08 21:22:12+00:00,-1.4936764705882355,-0.9666176470588236,-0.2539705882352941,5.357384788737058,-0.09,-0.1,-0.06,ankle,-123.17866943213467,49.265090771949126
2022-12-08 21:22:13+00:00,1.2017391304347824,0.9644927536231884,0.5253623188405797,5.451737838978254,-0.07,-0.09,-0.06,ankle,-123.17864600732813,49.265088973787016
2022-12-08 21:22:14+00:00,-1.327936507936508,-0.9944444444444444,-0.456031746031746,5.499304896014409,-0.06,-0.05,-0.06,ankle,-123.17862392238844,49.26508701899031
2022-12-08 21:22:15+00:00,0.511764705882353,0.4486764705882353,0.6348529411764706,5.496265379727737,-0.05,-0.03,-0.06,ankle,-123.17859974712141,49.265085495754406
