time,wx,wy,wz
3.799307107925415,0.49,-0.61,-0.9
3.801738977432251,0.45,-0.64,-0.54
3.804579019546509,0.38,-0.57,-0.17
3.806648015975952,0.31,-0.43,0.15
3.8923850059509277,0.28,-0.21,0.43
3.894947052001953,0.3,0.02,0.68
3.8974220752716064,0.37,0.23,0.95
3.899419069290161,0.47,0.34,1.26
3.9152750968933105,0.57,0.39,1.62
3.9166550636291504,0.66,0.42,2.02
3.918199062347412,0.68,0.42,2.45
3.9197490215301514,0.64,0.42,2.86
3.9213130474090576,0.55,0.45,3.15
3.9231820106506348,0.42,0.49,3.3
4.007796049118042,0.28,0.56,3.35
4.009509086608887,0.15,0.65,3.34
4.011151075363159,0.05,0.69,3.32
4.015078067779541,-0.01,0.66,3.3
4.0168070793151855,-0.03,0.53,3.28
4.031749963760376,0.02,0.37,3.28
4.03361701965332,0.12,0.21,3.29
4.035293102264404,0.23,0.06,3.31
4.037874937057495,0.36,-0.09,3.36
4.0402162075042725,0.49,-0.22,3.4
4.1247169971466064,0.61,-0.3,3.45
4.126415967941284,0.71,-0.35,3.48
4.128539085388184,0.79,-0.32,3.52
4.131014108657837,0.86,-0.25,3.55
4.133606195449829,0.88,-0.15,3.54
4.148518085479736,0.88,-0.01,3.53
4.1500279903411865,0.84,0.12,3.52
4.151784181594849,0.78,0.22,3.51
4.154639959335327,0.75,0.25,3.5
4.1562910079956055,0.75,0.3,3.45
4.240617990493774,0.8,0.38,3.36
4.242528200149536,0.85,0.48,3.29
4.244579076766968,0.87,0.57,3.26
4.2472898960113525,0.85,0.62,3.25
4.249161005020142,0.77,0.6,3.21
4.251569986343384,0.73,0.53,3.15
4.254558086395264,0.79,0.49,3.07
4.256263971328735,0.95,0.49,3.02
4.258576154708862,1.14,0.5,2.97
4.260882139205933,1.32,0.46,2.94
4.340626001358032,1.45,0.41,2.92
4.342345952987671,1.52,0.27,2.86
4.344042062759399,1.56,0.08,2.71
4.347207069396973,1.59,-0.09,2.45
4.349014043807983,1.61,-0.21,2.09
4.3648622035980225,1.61,-0.29,1.69
4.366281032562256,1.55,-0.33,1.29
4.367869138717651,1.4,-0.39,0.92
4.3701331615448,1.21,-0.47,0.55
4.372704029083252,1.03,-0.45,0.18
4.455671072006226,0.91,-0.35,-0.18
4.4575889110565186,0.79,-0.3,-0.52
4.45912504196167,0.64,-0.33,-0.81
4.462177038192749,0.48,-0.45,-1.1
4.465004205703735,0.28,-0.62,-1.4
4.466840982437134,0.07,-0.73,-1.76
4.481886148452759,-0.18,-0.78,-2.16
4.483857870101929,-0.46,-0.73,-2.54
4.485595941543579,-0.75,-0.58,-2.88
4.488018989562988,-1.02,-0.38,-3.19
4.5744640827178955,-1.24,-0.2,-3.49
4.576406002044678,-1.4,-0.11,-3.76
4.578460931777954,-1.51,-0.11,-4.0
4.581312894821167,-1.57,-0.27,-4.22
4.583453893661499,-1.55,-0.55,-4.43
4.598541975021362,-1.49,-0.89,-4.63
4.6001341342926025,-1.37,-1.24,-4.79
4.603060960769653,-1.23,-1.58,-4.92
4.604692220687866,-1.09,-1.9,-5.04
4.607102155685425,-0.97,-2.32,-5.13
4.692954063415527,-0.84,-2.8,-5.19
4.695109128952026,-0.73,-3.22,-5.23
4.697620153427124,-0.66,-3.6,-5.24
4.699523210525513,-0.65,-3.77,-5.23
4.715349912643433,-0.78,-3.79,-5.23
4.71696400642395,-1.06,-3.75,-5.19
4.719271898269653,-1.43,-3.65,-5.11
4.7221360206604,-1.86,-3.49,-5.01
4.724125146865845,-2.29,-3.26,-4.91
4.726720094680786,-2.64,-3.12,-4.78
4.812283039093018,-2.86,-3.02,-4.61
4.8150341510772705,-2.95,-2.99,-4.4
4.816651105880737,-2.91,-2.94,-4.16
4.819072008132935,-2.78,-2.77,-3.89
4.821921110153198,-2.61,-2.55,-3.61
4.824002981185913,-2.4,-2.33,-3.33
4.826294183731079,-2.22,-2.08,-3.06
4.8291990756988525,-2.1,-1.84,-2.78
4.832179069519043,-2.02,-1.64,-2.51
4.833802938461304,-1.95,-1.45,-2.28
4.9268639087677,-1.83,-1.46,-2.11
4.9292871952056885,-1.55,-1.5,-1.94
4.932229995727539,-1.13,-1.52,-1.7
4.933963060379028,-0.59,-1.48,-1.4
4.948373079299927,-0.03,-1.46,-1.11
4.949958086013794,0.41,-1.58,-0.9
4.953577995300293,0.66,-1.63,-0.79
4.955491065979004,0.72,-1.57,-0.77
4.958189010620117,0.61,-1.42,-0.75
4.961540937423706,0.33,-1.28,-0.69
5.047673940658569,-0.07,-1.12,-0.61
5.049836874008179,-0.46,-0.89,-0.5
5.052199125289917,-0.74,-0.53,-0.37
5.054610967636108,-0.89,-0.12,-0.22
5.056912183761597,-0.97,0.31,-0.05
5.059355974197388,-0.99,0.71,0.12
5.063645124435425,-0.95,1.05,0.27
5.065899133682251,-0.88,1.39,0.38
5.068258047103882,-0.77,1.75,0.51
5.0805580615997314,-0.61,2.09,0.74
5.165219068527222,-0.36,2.42,1.12
5.166974067687988,-0.02,2.72,1.61
5.168462038040161,0.35,2.94,2.14
5.171421051025391,0.71,2.99,2.66
5.173201084136963,1.02,2.88,3.12
5.1754560470581055,1.25,2.71,3.47
5.1779561042785645,1.4,2.52,3.69
5.181432008743286,1.49,2.28,3.79
5.183119058609009,1.56,2.05,3.85
5.197105169296265,1.62,1.93,3.89
5.284130096435547,1.66,1.84,3.93
5.285656213760376,1.67,1.73,3.97
5.2869651317596436,1.65,1.62,4.0
5.29415488243103,1.62,1.51,4.01
5.300190210342407,1.57,1.41,4.01
5.304737091064453,1.53,1.32,4.01
5.308502912521362,1.49,1.29,4.0
5.315119028091431,1.46,1.32,3.99
5.319102048873901,1.44,1.44,3.96
5.323920011520386,1.42,1.57,3.88
5.5026562213897705,1.38,1.65,3.77
5.504945993423462,1.35,1.69,3.7
5.506891965866089,1.34,1.64,3.7
5.510246992111206,1.37,1.52,3.78
5.514111042022705,1.45,1.42,3.91
5.5172741413116455,1.58,1.36,4.02
5.520611047744751,1.72,1.36,4.1
5.523058176040649,1.85,1.36,4.14
5.525968074798584,1.91,1.34,4.12
5.5304481983184814,1.9,1.31,4.08
5.650024175643921,1.81,1.25,4.03
5.651978015899658,1.65,1.2,3.96
5.653774976730347,1.44,1.18,3.85
5.656419038772583,1.2,1.19,3.68
5.659034967422485,0.99,1.2,3.53
5.662727117538452,0.82,1.19,3.42
5.665440082550049,0.7,1.23,3.35
5.667218923568726,0.62,1.28,3.3
5.681446075439453,0.56,1.27,3.2
5.6832849979400635,0.5,1.15,2.98
5.7700440883636475,0.51,0.95,2.67
5.7717649936676025,0.59,0.67,2.28
5.7735068798065186,0.78,0.32,1.85
5.775822877883911,1.02,-0.02,1.42
5.778764009475708,1.22,-0.38,1.01
5.781592130661011,1.3,-0.66,0.68
5.783527135848999,1.21,-0.79,0.47
5.798537015914917,0.93,-0.85,0.3
5.800679922103882,0.5,-0.84,0.15
5.802700042724609,0.0,-0.68,-0.01
5.88763689994812,-0.52,-0.41,-0.24
5.889776945114136,-1.01,-0.09,-0.55
5.891300916671753,-1.43,0.23,-0.94
5.893941164016724,-1.78,0.46,-1.35
5.897157907485962,-2.05,0.52,-1.73
5.900266885757446,-2.22,0.43,-2.07
5.91508412361145,-2.32,0.3,-2.36
5.916657209396362,-2.34,0.18,-2.61
5.919666051864624,-2.3,0.1,-2.82
5.921317100524902,-2.21,0.0,-3.01
6.007297039031982,-2.09,-0.12,-3.21
6.009697198867798,-1.95,-0.27,-3.42
6.011635065078735,-1.81,-0.47,-3.63
6.014441013336182,-1.68,-0.71,-3.82
6.016362905502319,-1.56,-0.91,-3.96
6.032154083251953,-1.46,-1.09,-4.05
6.033760070800781,-1.39,-1.25,-4.12
6.036245107650757,-1.35,-1.34,-4.17
6.03906512260437,-1.3,-1.4,-4.19
6.040651082992554,-1.26,-1.43,-4.19
6.124964952468872,-1.23,-1.43,-4.2
6.126579999923706,-1.19,-1.42,-4.17
6.129472017288208,-1.13,-1.39,-4.08
6.1319849491119385,-1.06,-1.36,-3.98
6.133529901504517,-0.99,-1.26,-3.88
6.148753881454468,-0.94,-1.1,-3.83
6.150696039199829,-0.96,-0.9,-3.78
6.153157949447632,-1.0,-0.7,-3.7
6.155716180801392,-1.08,-0.51,-3.61
6.1585938930511475,-1.17,-0.36,-3.5
6.242131948471069,-1.27,-0.25,-3.37
6.243929147720337,-1.34,-0.15,-3.22
6.2463600635528564,-1.38,-0.03,-3.04
6.249481916427612,-1.35,0.12,-2.84
6.265216112136841,-1.27,0.26,-2.64
6.266912221908569,-1.13,0.39,-2.43
6.2695300579071045,-0.91,0.54,-2.2
6.271363019943237,-0.68,0.68,-1.96
6.2734479904174805,-0.49,0.68,-1.72
6.275902986526489,-0.38,0.55,-1.49
6.362128019332886,-0.33,0.31,-1.28
6.364789009094238,-0.3,0.01,-1.12
6.36641001701355,-0.27,-0.28,-0.99
6.369290113449097,-0.23,-0.52,-0.88
6.371026039123535,-0.17,-0.64,-0.75
6.373234987258911,-0.11,-0.62,-0.57
6.375519037246704,-0.04,-0.43,-0.35
6.378709077835083,0.03,-0.15,-0.09
6.381308078765869,0.1,0.07,0.16
6.3828630447387695,0.15,0.19,0.38
6.4769508838653564,0.23,0.24,0.57
6.479633092880249,0.36,0.26,0.74
6.48214316368103,0.53,0.27,0.96
6.48454213142395,0.71,0.33,1.26
6.487303018569946,0.84,0.43,1.64
6.4891979694366455,0.91,0.57,2.04
6.491615056991577,0.91,0.68,2.39
6.493880033493042,0.86,0.72,2.65
6.497509002685547,0.76,0.64,2.79
6.499580144882202,0.67,0.51,2.84
6.598428964614868,0.58,0.36,2.86
6.600041151046753,0.5,0.25,2.87
6.601618051528931,0.43,0.17,2.9
6.603973150253296,0.36,0.13,2.94
6.606526136398315,0.32,0.1,2.95
6.608875036239624,0.29,0.1,2.93
6.6103551387786865,0.27,0.13,2.88
6.612636089324951,0.27,0.16,2.86
6.6148200035095215,0.28,0.18,2.86
6.617637872695923,0.32,0.19,2.88
6.700514078140259,0.38,0.19,2.92
6.702131032943726,0.46,0.15,2.96
6.703765153884888,0.55,0.13,3.0
6.706053018569946,0.65,0.16,3.05
6.713379144668579,0.75,0.19,3.09
6.720184087753296,0.85,0.29,3.14
6.724304914474487,0.94,0.39,3.21
6.736017942428589,1.05,0.46,3.26
6.741309881210327,1.16,0.51,3.31
6.746149063110352,1.27,0.52,3.34
6.920406103134155,1.36,0.45,3.32
6.922487020492554,1.47,0.4,3.29
6.924603223800659,1.61,0.38,3.31
6.928163051605225,1.78,0.38,3.36
6.931819200515747,1.98,0.44,3.42
6.934229135513306,2.16,0.53,3.45
6.937607049942017,2.25,0.58,3.42
6.940097093582153,2.27,0.54,3.31
6.942475080490112,2.23,0.4,3.08
6.945801019668579,2.18,0.2,2.8
7.059415102005005,2.14,0.0,2.47
7.061490058898926,2.08,-0.12,2.19
7.0640709400177,1.98,-0.23,1.97
7.067133188247681,1.83,-0.35,1.79
7.082325220108032,1.65,-0.5,1.61
7.084161043167114,1.41,-0.67,1.39
7.087292909622192,1.15,-0.74,1.12
7.0893800258636475,0.87,-0.7,0.77
7.091955900192261,0.59,-0.69,0.36
7.0942370891571045,0.36,-0.67,-0.06
7.181829214096069,0.2,-0.64,-0.43
7.183519124984741,0.11,-0.59,-0.72
7.185699224472046,0.05,-0.55,-0.94
7.18782114982605,-0.07,-0.48,-1.17
7.1902148723602295,-0.24,-0.38,-1.4
7.192536115646362,-0.45,-0.3,-1.63
7.195356130599976,-0.71,-0.23,-1.85
7.198446989059448,-1.02,-0.15,-2.07
7.200172185897827,-1.34,-0.12,-2.24
7.215088129043579,-1.64,-0.08,-2.36
7.298577070236206,-1.87,-0.03,-2.46
7.300418138504028,-2.04,0.02,-2.55
7.301932096481323,-2.14,0.04,-2.67
7.304614067077637,-2.19,0.0,-2.82
7.3071129322052,-2.19,-0.08,-2.99
7.30867600440979,-2.17,-0.17,-3.14
7.3103930950164795,-2.15,-0.3,-3.24
7.313993215560913,-2.15,-0.42,-3.31
7.316423177719116,-2.17,-0.49,-3.36
7.330762147903442,-2.18,-0.57,-3.39
7.417526006698608,-2.17,-0.61,-3.43
7.4194300174713135,-2.15,-0.62,-3.47
7.420972108840942,-2.13,-0.61,-3.52
7.423404932022095,-2.09,-0.55,-3.55
7.4259819984436035,-2.02,-0.51,-3.53
7.428138971328735,-1.9,-0.49,-3.48
7.430983066558838,-1.75,-0.5,-3.4
7.432929039001465,-1.58,-0.46,-3.32
7.4490392208099365,-1.44,-0.39,-3.23
7.450623035430908,-1.34,-0.26,-3.14
7.5356950759887695,-1.27,-0.15,-3.04
7.537468194961548,-1.23,-0.02,-2.94
7.538986921310425,-1.2,0.12,-2.85
7.541429042816162,-1.16,0.3,-2.74
7.54394006729126,-1.13,0.45,-2.62
7.548020124435425,-1.07,0.57,-2.47
7.549943208694458,-1.01,0.64,-2.29
7.565282106399536,-0.91,0.68,-2.12
7.566910028457642,-0.77,0.7,-1.94
7.569314002990723,-0.6,0.72,-1.78
7.655342102050781,-0.41,0.72,-1.63
7.657684087753296,-0.22,0.68,-1.5
7.659996032714844,-0.04,0.54,-1.4
7.662591218948364,0.13,0.33,-1.3
7.66637921333313,0.33,0.09,-1.19
7.668277025222778,0.49,-0.14,-1.01
7.681828022003174,0.62,-0.27,-0.75
7.683484077453613,0.69,-0.34,-0.45
7.68612003326416,0.75,-0.31,-0.18
7.687972068786621,0.79,-0.27,0.03
7.776962995529175,0.83,-0.27,0.25
7.7796471118927,0.9,-0.29,0.51
7.782177209854126,1.02,-0.33,0.83
7.784884214401245,1.17,-0.3,1.21
7.78654408454895,1.29,-0.23,1.61
7.788877010345459,1.36,-0.1,2.01
7.791185140609741,1.33,0.12,2.36
7.793857097625732,1.19,0.31,2.63
7.796794176101685,0.95,0.45,2.81
7.798824071884155,0.66,0.48,2.9
7.88122296333313,0.37,0.47,2.92
7.882704019546509,0.12,0.44,2.89
7.884340047836304,-0.05,0.4,2.86
7.886729001998901,-0.15,0.35,2.84
7.888660192489624,-0.17,0.28,2.84
7.8908531665802,-0.13,0.19,2.83
7.893197059631348,-0.04,0.1,2.82
7.895787954330444,0.1,-0.01,2.82
7.898144006729126,0.25,-0.13,2.82
7.899397134780884,0.43,-0.23,2.82
7.994293928146362,0.62,-0.29,2.86
7.996495962142944,0.81,-0.28,2.94
7.998931169509888,0.97,-0.23,3.09
8.001281976699829,1.09,-0.13,3.26
8.004088163375854,1.19,-0.02,3.38
8.005685091018677,1.27,0.09,3.44
8.00800108909607,1.35,0.23,3.41
8.010279893875122,1.42,0.33,3.31
8.014039039611816,1.47,0.38,3.2
8.015637159347534,1.49,0.35,3.1
